# Constructed from biom file
#OTU ID	B1-100-1	B1-100-2	B1-100-24HR-D10	B1-100-24HR-D14	B1-100-24HR-D21	B1-100-24HR-D5	B1-100-3	B1-50-1	B1-50-2	B1-50-24HR-D10	B1-50-24HR-D14	B1-50-24HR-D21	B1-50-24HR-D5	B1-80-1	B1-80-2	B1-80-3	B1-85-1	B1-85-2	B1-85-3	B1-90-1	B1-90-2	B1-90-3	B2-100-1	B2-100-2	B2-100-24HR-D10	B2-100-24HR-D14	B2-100-24HR-D21	B2-100-3	B2-50-1	B2-50-2	B2-50-24HR-D10	B2-50-24HR-D14	B2-50-24HR-D21	B2-50-24HR-D5	B2-50-3	B2-80-1	B2-80-2	B2-80-3	B2-85-1	B2-85-2	B2-85-3	B2-90-1	B2-90-2	B2-90-3	B3-100-1	B3-100-2	B3-100-24HR-D10	B3-100-24HR-D14	B3-100-24HR-D21	B3-100-24HR-D5	B3-100-3	B3-50-1	B3-50-2	B3-50-24HR-D10	B3-50-24HR-D14	B3-50-24HR-D21	B3-50-24HR-D5	B3-50-3	B3-80-1	B3-80-2	B3-80-3	B3-85-1	B3-85-2	B3-85-3	B3-90-1	B3-90-2	B3-90-3	B4-100-1	B4-100-2	B4-100-24HR-D10	B4-100-24HR-D14	B4-100-24HR-D21	B4-100-24HR-D5	B4-100-3	B4-50-1	B4-50-2	B4-50-24HR-D10	B4-50-24HR-D14	B4-50-24HR-D21	B4-50-24HR-D5	B4-50-3	B4-80-1	B4-80-2	B4-80-3	B4-85-1	B4-85-2	B4-85-3	B4-90-1	B4-90-2	B4-90-3
d908918adaac98e6cc1968bdd1572176	32.0	0.0	0.0	0.0	0.0	0.0	0.0	97.0	0.0	42.0	55.0	38.0	25.0	87.0	121.0	72.0	53.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	87.0	96.0	69.0	156.0	139.0	0.0	38.0	214.0	90.0	75.0	79.0	41.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	124.0	175.0	56.0	215.0	0.0	46.0	55.0	0.0	64.0	25.0	0.0	0.0	64.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	51.0	43.0	69.0	71.0	88.0	80.0	0.0	44.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
75098f5b0c403e7f12d82119d4a2fd3a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	45.0	0.0	0.0	62.0	0.0	36.0	49.0	106.0	75.0	52.0	0.0	210.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	76.0	112.0	70.0	139.0	0.0	109.0	0.0	159.0	103.0	104.0	42.0	63.0	0.0	128.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	112.0	0.0	82.0	257.0	0.0	41.0	40.0	0.0	69.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	58.0	0.0	0.0	0.0	38.0	44.0	45.0	0.0	96.0	51.0	50.0	0.0	0.0	0.0	0.0	53.0	0.0	82.0	0.0	0.0
f7af87e718db0529e80dbfaf37440785	0.0	0.0	0.0	0.0	0.0	0.0	0.0	86.0	0.0	40.0	39.0	30.0	33.0	58.0	76.0	59.0	48.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	62.0	80.0	81.0	92.0	100.0	0.0	42.0	125.0	61.0	76.0	40.0	46.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	85.0	195.0	48.0	150.0	0.0	35.0	37.0	0.0	54.0	19.0	0.0	0.0	55.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	36.0	42.0	75.0	62.0	49.0	68.0	0.0	50.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
bbf3213852caa3cbdb7366e717d2ab03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	46.0	177.0	0.0	51.0	0.0	56.0	58.0	81.0	66.0	34.0	0.0	128.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	71.0	96.0	50.0	109.0	0.0	0.0	23.0	142.0	86.0	63.0	59.0	37.0	67.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	103.0	0.0	47.0	214.0	113.0	44.0	0.0	0.0	53.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	40.0	0.0	0.0	32.0	35.0	40.0	33.0	85.0	48.0	127.0	0.0	112.0	54.0	0.0	0.0	0.0	0.0	0.0	17.0
609f08b2245c7f10903ad1b9d0be3da5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	128.0	48.0	0.0	19.0	51.0	77.0	57.0	67.0	0.0	81.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	79.0	98.0	78.0	102.0	69.0	0.0	0.0	143.0	72.0	74.0	75.0	36.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	109.0	0.0	48.0	191.0	0.0	33.0	0.0	0.0	44.0	112.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	86.0	47.0	43.0	34.0	66.0	45.0	27.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0324fb2c11815495a7413120b1ecde5b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	42.0	0.0	0.0	57.0	107.0	0.0	40.0	73.0	59.0	55.0	0.0	53.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	54.0	66.0	49.0	130.0	0.0	0.0	0.0	125.0	67.0	56.0	102.0	34.0	0.0	0.0	36.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	92.0	0.0	62.0	159.0	0.0	25.0	124.0	0.0	45.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34.0	93.0	42.0	39.0	57.0	38.0	0.0	22.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
34fcb7a6681034a74c957d068e26a533	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	153.0	92.0	50.0	0.0	116.0	119.0	69.0	0.0	59.0	20.0	137.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	128.0	0.0	79.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	125.0	0.0	17.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	38.0	158.0	0.0	46.0	0.0	86.0	148.0	0.0	0.0	0.0	0.0	17.0	0.0	0.0
d8a3a37f7bb5f744b7f6f6535a8948e8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	46.0	0.0	62.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	54.0	0.0	34.0	378.0	58.0	0.0	0.0	0.0	101.0	75.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	33.0	0.0	0.0	0.0	53.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	159.0	204.0	154.0	0.0	0.0	0.0	86.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
7b9b5a2f09c83ce1cec108b057522c79	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	150.0	321.0	79.0	0.0	80.0	0.0	57.0	0.0	0.0	0.0	267.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	157.0	0.0	41.0	0.0	206.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	81.0	0.0	0.0	82.0	0.0	0.0	0.0	0.0	0.0	112.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0ae02c0e3ba008a38cce605ac6ee9b1f	0.0	0.0	0.0	0.0	0.0	0.0	0.0	128.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	107.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	57.0	122.0	175.0	0.0	0.0	117.0	52.0	0.0	65.0	71.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	44.0	38.0	180.0	37.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	142.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	37.0	51.0	23.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
